COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_MF	p_M	N_MF	N_M
Imidazoleglycerol phosphate dehydratase HisB (HisB2) (PDB:1RHY)	0	1	1	NA	COG0131	GC_00001457	1	1	1	1
6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase (NagB) (PDB:2RI0) (PUBMED:24163345)	0	1	1	NA	COG0363	GC_00000290, GC_00001127, GC_00002196, GC_00003267	1	1	1	1
FAD:protein FMN transferase ApbE (ApbE) (PDB:1VRM) (PUBMED:23558683;30154099)	0	1	1	NA	COG1477	GC_00000706, GC_00000738, GC_00003520	1	1	1	1
Homoserine dehydrogenase (ThrA) (PDB:5AVO) (PUBMED:29124164)	0	1	1	NA	COG0460	GC_00003437	1	1	1	1
CHAD domain, binds inorganic polyphosphates (CHAD) (PDB:3E0S) (PUBMED:12456267;31133615)	0	1	1	NA	COG5607	GC_00002368	1	1	1	1
16S rRNA C1402 (ribose-2'-O) methylase RsmI (RsmI) (PDB:3KWP) (PUBMED:24078611)	0	1	1	NA	COG0313	GC_00001691	1	1	1	1
3-isopropylmalate dehydratase small subunit (LeuD) (PDB:3Q3W)	0	1	1	NA	COG0066	GC_00002429	1	1	1	1
Uncharacterized Tic20-related protein, DUF4870 domain (Tic20a) (PUBMED:9817756;20100520)	0	1	1	NA	COG3296	GC_00001495	1	1	1	1
Phosphoenolpyruvate carboxykinase, GTP-dependent (PepCK) (PDB:4R43)	0	1	1	NA	COG1274	GC_00003505	1	1	1	1
UDP-glucose 4-epimerase (GalE) (PDB:1A9Y)	0	1	1	NA	COG1087	GC_00002981	1	1	1	1
Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase (HemN) (PDB:1OLT)	0	1	1	NA	COG0635	GC_00001856	1	1	1	1
FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor) (Tig) (PDB:5OWI)	0	1	1	NA	COG0544	GC_00000681	1	1	1	1
K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)	0	1	1	NA	COG2205	GC_00002541, GC_00002874	1	1	1	1
Phenylalanyl-tRNA synthetase beta subunit (PheT) (PDB:3L4G)!!!tRNA-binding EMAP/Myf domain (EMAP) (PDB:1MKH)	0	1	1	NA	COG0072!!!COG0073	GC_00001942	1	1	1	1
Sarcosine oxidase delta subunit (SoxD) (PDB:2GAH)	0	1	1	NA	COG4311	GC_00001355	1	1	1	1
Lipoprotein-anchoring transpeptidase ErfK/SrfK (ErfK) (PDB:4LZH)	0	1	1	NA	COG1376	GC_00000575, GC_00003055	1	1	1	1
ABC-type molybdate transport system, periplasmic Mo-binding protein ModA (ModA) (PDB:1AMF)	0	1	1	NA	COG0725	GC_00001752	1	1	1	1
Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family (PEBP) (PDB:1A44)	0	1	1	NA	COG1881	GC_00003073	1	1	1	1
Ribosomal protein L22 (RplV) (PDB:1VS6)	0	1	1	NA	COG0091	GC_00001426	1	1	1	1
High-affinity nickel/cobalt permease (HoxN)	0	1	1	NA	COG3376	GC_00001626	1	1	1	1
Monoamine oxidase (YobN) (PDB:1B37)	0	1	1	NA	COG1231	GC_00003168, GC_00003316	1	1	1	1
FoF1-type ATP synthase, alpha subunit (AtpA) (PDB:3OAA)	0	1	1	NA	COG0056	GC_00000313	1	1	1	1
Predicted hydrolase of the alpha/beta-hydrolase fold	0	1	1	NA	COG3571	GC_00002694	1	1	1	1
IMP dehydrogenase/GMP reductase (GuaB) (PDB:1B3O)!!!CBS domain (CBS) (PDB:1B3O)	0	1	1	NA	COG0516!!!COG0517	GC_00001085	1	1	1	1
ABC-type multidrug transport system, ATPase and permease component (MdlB) (PDB:2HYD)	0	1	1	NA	COG1132	GC_00000062, GC_00000139, GC_00000223, GC_00000451, GC_00000662, GC_00001166, GC_00002505, GC_00003324	1	1	1	1
Membrane-anchored protein YidD, putatitve component of membrane protein insertase Oxa1/YidC/SpoIIIJ (YidD)	0	1	1	NA	COG0759	GC_00003278	1	1	1	1
Aldo/keto reductase, related to diketogulonate reductase (ARA1) (PDB:1Q13)	0	1	1	NA	COG0656	GC_00000055, GC_00000535, GC_00001429, GC_00003085	1	1	1	1
NADP-dependent 3-hydroxy acid dehydrogenase YdfG (YdfG) (PDB:3P19)	0	1	1	NA	COG4221	GC_00000362, GC_00000389, GC_00001669, GC_00002276, GC_00002410	1	1	1	1
1,4-alpha-glucan branching enzyme (GlgB) (PDB:4LPC) (PUBMED:25871919)	0	1	1	NA	COG0296	GC_00003288	1	1	1	1
Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)	0	1	1	NA	COG2963	GC_00003012	1	1	1	1
tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain (TrmL) (PDB:4JAK)	0	1	1	NA	COG0219	GC_00001066	1	1	1	1
Kojibiose phosphorylase YcjT (ATH1) (PDB:1H54) (PUBMED:29684280)	0	1	1	NA	COG1554	GC_00002083	1	1	1	1
DNA repair ATPase RecN (RecN) (PDB:4AD8)	0	1	1	NA	COG0497	GC_00002077	1	1	1	1
Uncharacterized conserved protein, contains FMN-binding domain	0	1	1	NA	COG3976	GC_00000067, GC_00001704	1	1	1	1
Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6)	0	1	1	NA	COG0574	GC_00001998, GC_00002242, GC_00003458, GC_00003469, GC_00004164	1	1	1	1
NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	0	1	1	NA	COG1028	GC_00000026, GC_00000136, GC_00000489, GC_00000656, GC_00000862, GC_00000907, GC_00001220, GC_00001293, GC_00001325, GC_00001431, GC_00001450, GC_00001685, GC_00001793, GC_00001802, GC_00001890, GC_00002038, GC_00002234, GC_00002509, GC_00002538, GC_00002638, GC_00002756, GC_00002999, GC_00003329, GC_00004036, GC_00004050	1	1	1	1
Fluoride ion exporter CrcB/FEX, affects chromosome condensation (CrcB) (PDB:5A40)	0	1	1	NA	COG0239	GC_00000540, GC_00001201	1	1	1	1
Glutamate synthase domain 1 (GltB1) (PDB:1EA0)!!!Glutamate synthase domain 2 (GltB2) (PDB:1EA0)!!!Glutamate synthase domain 3 (GltB3) (PDB:1EA0)	0	1	1	NA	COG0067!!!COG0069!!!COG0070	GC_00001983	1	1	1	1
Ribosome maturation factor RimP (RimP) (PDB:1IB8)	0	1	1	NA	COG0779	GC_00000308	1	1	1	1
Uncharacterized conserved protein, DUF501 family	0	1	1	NA	COG1507	GC_00002909	1	1	1	1
Acyl carrier protein (AcpP) (PDB:1ACP)	0	1	1	NA	COG0236	GC_00001406, GC_00003886	1	1	1	1
Sensor histidine kinase WalK (WalK) (PDB:4I5S)	0	1	1	NA	COG5002	GC_00001883	1	1	1	1
Flagellar hook protein FlgE (FlgE) (PDB:3A69)	0	1	1	NA	COG1749	GC_00002127	1	1	1	1
Phosphoserine phosphatase (SerB) (PDB:3N28)	0	1	1	NA	COG0560	GC_00002882, GC_00003044	1	1	1	1
Oligoribonuclease (3'-5' exoribonuclease) (Orn) (PDB:1YTA)	0	1	1	NA	COG1949	GC_00000659	1	1	1	1
Uracil phosphoribosyltransferase (Upp) (PDB:2EHJ)	0	1	1	NA	COG0035	GC_00003291	1	1	1	1
Ribosomal protein L29 (RpmC) (PDB:1VS6)	0	1	1	NA	COG0255	GC_00001096	1	1	1	1
Alkylated DNA repair dioxygenase AlkB (AlkB) (PDB:3KHC)	0	1	1	NA	COG3145	GC_00003175	1	1	1	1
2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)	0	1	1	NA	COG2227	GC_00002309, GC_00003233, GC_00003270	1	1	1	1
Acid resistance membrane protein HdeD, DUF308 family (HdeD) (PUBMED:12694615;28802266)	0	1	1	NA	COG3247	GC_00001339, GC_00003290	1	1	1	1
Phosphopantetheinyl transferase (holo-ACP synthase) (AcpS) (PDB:1F7L)	0	1	1	NA	COG0736	GC_00000250	1	1	1	1
Predicted rRNA methylase YqxC, contains S4 and FtsJ domains (YqxC) (PDB:3OPN)	0	1	1	NA	COG1189	GC_00001717	1	1	1	1
ABC-type multidrug transport system, permease component (YadH)	0	1	1	NA	COG0842	GC_00001257, GC_00001811, GC_00002716, GC_00003177, GC_00003376	1	1	1	1
Predicted RNA-binding protein YhfF, contains PUA-like ASCH domain (YhfF)	0	1	1	NA	COG4405	GC_00002745	1	1	1	1
Predicted restriction endonuclease, HNH family (PDB:6GHC)	0	1	1	NA	COG3183	GC_00000556	1	1	1	1
Flavin-binding protein dodecin (PDB:1MOG) (PUBMED:12679016)	0	1	1	NA	COG3360	GC_00001191	1	1	1	1
Flagellin-specific chaperone FliS (FliS) (PDB:1ORJ)	0	1	1	NA	COG1516	GC_00001654	1	1	1	1
Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing (RimM) (PDB:2QGG)	0	1	1	NA	COG0806	GC_00001519	1	1	1	1
Ribosomal protein L21 (RplU) (PDB:1VS6)	0	1	1	NA	COG0261	GC_00001237	1	1	1	1
Uncharacterized conserved protein YjdB, contains Ig-like domain (YjdB)	0	1	1	NA	COG5492	GC_00002895	1	1	1	1
FoF1-type ATP synthase, gamma subunit (AtpG) (PDB:3OAA) (PUBMED:15326535)	0	1	1	NA	COG0224	GC_00001732	1	1	1	1
Acyl-CoA synthetase (NDP forming) (PatZN) (PDB:4YAK) (PUBMED:26251518)!!!Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)	0	1	1	NA	COG1042!!!COG1670	GC_00003428	1	1	1	1
Swarming motility protein SwrD (SwrD) (PUBMED:29061663)	0	1	1	NA	COG1582	GC_00001349	1	1	1	1
Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)	0	1	1	NA	COG1804	GC_00000616, GC_00001070, GC_00001317, GC_00002338, GC_00002466, GC_00002941, GC_00003218	1	1	1	1
Trehalose utilization protein (ThuA) (PDB:1T0B)	0	1	1	NA	COG4813	GC_00001877	1	1	1	1
Cytosine/adenosine deaminase or related metal-dependent hydrolase (SsnA) (PDB:3O7U)	0	1	1	NA	COG0402	GC_00001329, GC_00001784, GC_00002040, GC_00002362, GC_00003960	1	1	1	1
Recombinational DNA repair protein RecR (RecR) (PDB:2JGR) (PUBMED:26337406)	0	1	1	NA	COG0353	GC_00002836	1	1	1	1
Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)!!!NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase (FadH2) (PDB:1VRQ)	0	1	1	NA	COG0404!!!COG0446	GC_00001054	1	1	1	1
Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II (GloB) (PDB:1QH3) (PUBMED:25670698)!!!Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)	0	1	1	NA	COG0491!!!COG0607	GC_00001989, GC_00003561	1	1	1	1
Predicted glutamine amidotransferase YafJ (YafJ) (PDB:1TE5)	0	1	1	NA	COG0121	GC_00000978	1	1	1	1
Transcriptional regulator, CopY/TcrY family (CopY) (PDB:1OKR)	0	1	1	NA	COG3682	GC_00002022	1	1	1	1
Zn-dependent protease with chaperone function (HtpX) (PDB:2YPT)	0	1	1	NA	COG0501	GC_00003284, GC_00003351	1	1	1	1
Ribosomal protein S10 (RpsJ) (PDB:4V4H)	0	1	1	NA	COG0051	GC_00000558	1	1	1	1
3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains (AdaA) (PDB:1ADN)	0	1	1	NA	COG0122!!!COG2169	GC_00001966	1	1	1	1
Flagellar hook-capping protein FlgD (FlgD) (PDB:6IEF)	0	1	1	NA	COG1843	GC_00002875	1	1	1	1
Quinolinate synthase (NadA) (PDB:4HHE) (PUBMED:24498065)	0	1	1	NA	COG0379	GC_00001219	1	1	1	1
DNA-directed RNA polymerase, beta' subunit/160 kD subunit (RpoC) (PDB:1NT9)	0	1	1	NA	COG0086	GC_00001532	1	1	1	1
UDP-galactopyranose mutase (Glf) (PDB:1I8T)	0	1	1	NA	COG0562	GC_00002370	1	1	1	1
Transketolase, N-terminal subunit (TktA1)	0	1	1	NA	COG3959	GC_00002645, GC_00003717	1	1	1	1
Voltage-gated potassium channel Kch (Kch) (PDB:3FWZ)	0	1	1	NA	COG1226	GC_00001868	1	1	1	1
DnaJ-class molecular chaperone with C-terminal Zn finger domain (DnaJ) (PDB:1BQ0)	0	1	1	NA	COG0484	GC_00000992, GC_00002399, GC_00002510, GC_00003015, GC_00003310	1	1	1	1
Uncharacterized conserved protein, DUF2277 domain	0	1	1	NA	COG5552	GC_00002343	1	1	1	1
5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase (FolD) (PDB:1A4I)	0	1	1	NA	COG0190	GC_00000209	1	1	1	1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (IspD) (PDB:1H3M)	0	1	1	NA	COG1211	GC_00003577	1	1	1	1
DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	0	1	1	NA	COG1309	GC_00000110, GC_00000584, GC_00000673, GC_00000737, GC_00000748, GC_00000822, GC_00000836, GC_00000886, GC_00000906, GC_00000940, GC_00000954, GC_00001032, GC_00001360, GC_00001373, GC_00001443, GC_00001470, GC_00001500, GC_00001553, GC_00001625, GC_00001754, GC_00001904, GC_00001964, GC_00001997, GC_00002296, GC_00002392, GC_00002600, GC_00002773, GC_00002809, GC_00002969, GC_00003035, GC_00003059, GC_00003108, GC_00003144, GC_00003241, GC_00003315, GC_00003345, GC_00003389, GC_00003598, GC_00003667, GC_00003780, GC_00004031, GC_00004046	1	1	1	1
Periplasmic beta-glucosidase and related glycosidases (BglX) (PDB:2X40)	0	1	1	NA	COG1472	GC_00002113, GC_00002768, GC_00002950, GC_00003434, GC_00003926	1	1	1	1
Predicted glycosyl hydrolase, GH114 family (PDB:5TSY)	0	1	1	NA	COG3868	GC_00000325, GC_00000443	1	1	1	1
Methionyl-tRNA synthetase (MetG) (PDB:1A8H)	0	1	1	NA	COG0143	GC_00000689	1	1	1	1
Stage II sporulation protein SpoIIM, component of the engulfment complex (SpoIIM)	0	1	1	NA	COG1300	GC_00002230	1	1	1	1
FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K (AtpE) (PDB:1C17)	0	1	1	NA	COG0636	GC_00000845, GC_00001090	1	1	1	1
FoF1-type ATP synthase, beta subunit (AtpD) (PDB:3OAA)	0	1	1	NA	COG0055	GC_00001243	1	1	1	1
16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B) (RsmG) (PDB:1XDZ) (PUBMED:15375115;22031445)	0	1	1	NA	COG0357	GC_00000880	1	1	1	1
Cell wall-associated hydrolase, NlpC_P60 family (NlpC) (PDB:2EVR)	0	1	1	NA	COG0791	GC_00001390, GC_00002015, GC_00002239, GC_00003872	1	1	1	1
tRNA-dihydrouridine synthase (DusA) (PDB:1VHN)	0	1	1	NA	COG0042	GC_00003057	1	1	1	1
Uncharacterized conserved protein YqeY, may have tRNA amino acid amidase activity (YqeY) (PDB:1NG6)	0	1	1	NA	COG1610	GC_00000175	1	1	1	1
Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)!!!Rieske Fe-S protein (QcrA/PetC) (PDB:5CXM) (PUBMED:27663073)	0	1	1	NA	COG0665!!!COG0723	GC_00002284	1	1	1	1
Uncharacterized conserved protein YjbJ, UPF0337 family (yjbJ) (PDB:1RYK)	0	1	1	NA	COG3237	GC_00000021	1	1	1	1
Cytochrome bd-type quinol oxidase, subunit 2 (AppB) (PDB:6RKO)	0	1	1	NA	COG1294	GC_00001218	1	1	1	1
NADH/NAD ratio-sensing transcriptional regulator Rex (Rex) (PDB:3KEO) (PUBMED:23490197)	0	1	1	NA	COG2344	GC_00001520	1	1	1	1
Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family (RarD) (PUBMED:26335199)	0	1	1	NA	COG2962	GC_00002682	1	1	1	1
Secreted phosphatase, PhoX family (PhoX) (PDB:3ZWU)	0	1	1	NA	COG3211	GC_00002031	1	1	1	1
Fe-S-cluster-containing dehydrogenase component (DMSO reductase) (HybA) (PDB:2VPW)	0	1	1	NA	COG0437	GC_00001335	1	1	1	1
Ribonuclease D (Rnd) (PDB:5C0Y) (PUBMED:18821773)	0	1	1	NA	COG0349	GC_00002388	1	1	1	1
NAD-dependent DNA ligase (Lig) (PDB:5TT5)	0	1	1	NA	COG0272	GC_00002535	1	1	1	1
Ribosomal protein L33 (RpmG) (PDB:1VS6)	0	1	1	NA	COG0267	GC_00000197	1	1	1	1
3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase (AlkA) (PDB:1DIZ)	0	1	1	NA	COG0122	GC_00003352	1	1	1	1
Phage shock protein A (PspA) (PDB:4WHE)	0	1	1	NA	COG1842	GC_00001316	1	1	1	1
Biotin transporter BioY (BioY) (PDB:4DVE)	0	1	1	NA	COG1268	GC_00001491	1	1	1	1
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)	0	1	1	NA	COG2199	GC_00000027, GC_00003929	1	1	1	1
Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains (YlaK) (PUBMED:17114934)	0	1	1	NA	COG1875	GC_00000190	1	1	1	1
Phosphosulfolactate phosphohydrolase or related enzyme (ComB) (PDB:1VR0)	0	1	1	NA	COG2045	GC_00002758	1	1	1	1
UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family (WecG)	0	1	1	NA	COG1922	GC_00001578	1	1	1	1
Serine/threonine protein kinase (SPS1) (PDB:6G4J)!!!PASTA domain, binds beta-lactams (PASTA)	0	1	1	NA	COG0515!!!COG2815	GC_00001699, GC_00002642, GC_00003139	1	1	1	1
DNA-directed RNA polymerase specialized sigma subunit, sigma24 family (RpoE) (PDB:2Q1Z)	0	1	1	NA	COG1595	GC_00000405, GC_00000475, GC_00000894, GC_00001870, GC_00002159, GC_00002389, GC_00003334, GC_00003529, GC_00003788	1	1	1	1
Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)!!!3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	0	1	1	NA	COG1024!!!COG1250	GC_00000946	1	1	1	1
PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA (ArnT) (PDB:5EZM) (PUBMED:16226890;31233657;32706435)	0	1	1	NA	COG1807	GC_00000115, GC_00002513, GC_00003614	1	1	1	1
ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain (YprA)	0	1	1	NA	COG1205	GC_00003492	1	1	1	1
FoF1-type ATP synthase AtpZ/Atp1/AtpQ subunit, putative Ca2+/Mg2+ transporter (AtpZ) (PUBMED:12917488;23123906)	0	1	1	NA	COG5336	GC_00003155	1	1	1	1
Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	0	1	1	NA	COG0111	GC_00000562, GC_00002160, GC_00002532, GC_00003383, GC_00003794	1	1	1	1
DNA gyrase inhibitor GyrI/SbmC (SbmC) (PDB:1JYH)	0	1	1	NA	COG3449	GC_00001861, GC_00001873	1	1	1	1
Molybdenum cofactor biosynthesis enzyme MoaC (MoaC) (PDB:1EKR) (PUBMED:32239579)	0	1	1	NA	COG0315	GC_00000661	1	1	1	1
Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)	0	1	1	NA	COG0322	GC_00003148	1	1	1	1
FKBP-type peptidyl-prolyl cis-trans isomerase (FkpA) (PDB:1A7X)	0	1	1	NA	COG0545	GC_00000542, GC_00003166	1	1	1	1
Electron transfer flavoprotein, alpha subunit FixB (FixB) (PDB:1EFP)	0	1	1	NA	COG2025	GC_00000976, GC_00003000	1	1	1	1
Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase) (PdxT) (PDB:2NV0) (PUBMED:18801996;24083939)	0	1	1	NA	COG0311	GC_00003322	1	1	1	1
Glycopeptide antibiotics resistance protein (VanZ)	0	1	1	NA	COG4767	GC_00002825	1	1	1	1
Uncharacterized conserved protein, DUF2267 family	0	1	1	NA	COG5502	GC_00002737	1	1	1	1
Homoserine kinase (ThrB) (PDB:1FWK)	0	1	1	NA	COG0083	GC_00003342	1	1	1	1
Deoxyribodipyrimidine photolyase (PhrB) (PDB:1TEZ)	0	1	1	NA	COG0415	GC_00003514	1	1	1	1
Cell division protein FtsB (FtsB) (PDB:4IFF)	0	1	1	NA	COG2919	GC_00001540	1	1	1	1
Aspartate carbamoyltransferase, catalytic subunit (PyrB) (PDB:1NBE)	0	1	1	NA	COG0540	GC_00000461	1	1	1	1
Threonine/homoserine efflux transporter RhtA (RhtA)	0	1	1	NA	COG5006	GC_00001687, GC_00003638	1	1	1	1
Coproheme decarboxylase/chlorite dismutase (HemQ) (PDB:1T0T) (PUBMED:15965735;25602700;27758026;31423350)	0	1	1	NA	COG3253	GC_00001734	1	1	1	1
Type II secretory pathway ATPase component GspA/ExeA/MshM (ExeA) (PUBMED:21378198)	0	1	1	NA	COG3267	GC_00000127	1	1	1	1
3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains (SseA) (PDB:1BOH)	0	1	1	NA	COG2897	GC_00001573, GC_00001656, GC_00003119	1	1	1	1
Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family (Mrp) (PDB:2PH1) (PUBMED:18616280;19114487;31709520)!!!Metal-sulfur cluster biosynthetic enzyme (PaaD) (PDB:1UWD)	0	1	1	NA	COG0489!!!COG2151	GC_00002139	1	1	1	1
dGTP triphosphohydrolase (Dgt) (PDB:6OI7)	0	1	1	NA	COG0232	GC_00001599	1	1	1	1
Putative GTP cyclohydrolase 1 type 2, NIF3 family (NIF3) (PDB:3SY1) (PUBMED:24435797;26385509)	0	1	1	NA	COG0327	GC_00000332	1	1	1	1
20S proteasome, alpha and beta subunits (PRE1) (PDB:1FNT)	0	1	1	NA	COG0638	GC_00000774, GC_00002696	1	1	1	1
Ribosomal protein L4 (RplD) (PDB:1VS6)	0	1	1	NA	COG0088	GC_00001506, GC_00002931	1	1	1	1
Ribulose kinase (AraB) (PDB:3QDK)	0	1	1	NA	COG1069	GC_00002542	1	1	1	1
Predicted CoA-binding protein (YccU) (PDB:1IUK)	0	1	1	NA	COG1832	GC_00001101	1	1	1	1
ABC-type uncharacterized transport system YnjBCD, periplasmic component (YnjB)	0	1	1	NA	COG4134	GC_00002292	1	1	1	1
ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT (MalT)	0	1	1	NA	COG2909	GC_00000947, GC_00003463, GC_00004038	1	1	1	1
Multisubunit Na+/H+ antiporter, MnhE subunit (MnhE) (PDB:6CFW)	0	1	1	NA	COG1863	GC_00003207	1	1	1	1
Lipoate-protein ligase B (LipB) (PDB:2QHT) (PUBMED:19798051)	0	1	1	NA	COG0321	GC_00001206	1	1	1	1
ABC-type iron transport system FetAB, permease component (FetB) (PUBMED:24038693)	0	1	1	NA	COG0390	GC_00002037	1	1	1	1
NAD kinase (NadK) (PDB:1SUW)	0	1	1	NA	COG0061	GC_00001695, GC_00003896	1	1	1	1
Eukaryotic-type DNA primase (LigD) (PDB:5DMU)	0	1	1	NA	COG3285	GC_00002182	1	1	1	1
Deoxyribose-phosphate aldolase (DeoC) (PDB:1J2W)	0	1	1	NA	COG0274	GC_00003443	1	1	1	1
Ribosomal protein L24 (RplX) (PDB:1VS6)	0	1	1	NA	COG0198	GC_00001418	1	1	1	1
tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain (MnmA) (PDB:2HMA) (PUBMED:25825430)	0	1	1	NA	COG0482	GC_00001753	1	1	1	1
Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase (ArgD) (PDB:2E54)	0	1	1	NA	COG4992	GC_00001985	1	1	1	1
Uncharacterized conserved protein (PDB:2P3Y)	0	1	1	NA	COG5361	GC_00000768, GC_00001481	1	1	1	1
Phage shock protein PspC (stress-responsive transcriptional regulator) (PspC)!!!Signal transduction histidine kinase ComP (ComP) (PDB:4GT8)	0	1	1	NA	COG1983!!!COG4585	GC_00003374	1	1	1	1
Uncharacterized conserved protein, RmlC-like cupin domain (RmlC)	0	1	1	NA	COG4101	GC_00002528, GC_00003062	1	1	1	1
tRNA U34 5'-hydroxylase TrhO, rhodanese family (TrhO) (PDB:4F67) (PUBMED:31253794)	0	1	1	NA	COG1054	GC_00000505	1	1	1	1
DNA segregation ATPase FtsK/SpoIIIE or related protein (FtsK) (PDB:2IUT)	0	1	1	NA	COG1674	GC_00003536	1	1	1	1
ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)	0	1	1	NA	COG0600	GC_00001165, GC_00002700, GC_00003628, GC_00003790, GC_00003971	1	1	1	1
Ribosomal protein S3 (RpsC) (PDB:1VS6)	0	1	1	NA	COG0092	GC_00000180	1	1	1	1
Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase (PulO)	0	1	1	NA	COG1989	GC_00001538, GC_00002695	1	1	1	1
Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain	0	1	1	NA	COG4748	GC_00001610	1	1	1	1
Flagellar biosynthesis protein FliP (FliP) (PDB:5H72)	0	1	1	NA	COG1338	GC_00000599	1	1	1	1
ATPase components of ABC transporters with duplicated ATPase domains (Uup) (PDB:5ZXD)	0	1	1	NA	COG0488	GC_00001546, GC_00001875, GC_00002828, GC_00003092, GC_00003167, GC_00003180, GC_00003297	1	1	1	1
DNA-binding transcriptional regulator, MerR family (SoxR) (PDB:2VZ4)	0	1	1	NA	COG0789	GC_00000070, GC_00000339, GC_00000560, GC_00001331, GC_00003074, GC_00003296	1	1	1	1
Acylphosphatase (AcyP) (PDB:1APS)	0	1	1	NA	COG1254	GC_00003182	1	1	1	1
Uncharacterized conserved protein, Alpha-E superfamily (Alpha-E) (PUBMED:20023723)	0	1	1	NA	COG2307	GC_00000496	1	1	1	1
DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)	0	1	1	NA	COG1733	GC_00001018, GC_00001177, GC_00001208	1	1	1	1
D-alanine-D-alanine ligase or related ATP-grasp enzyme (DdlA) (PDB:1E4E)	0	1	1	NA	COG1181	GC_00003449	1	1	1	1
Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family (YggS) (PDB:3SY1) (PUBMED:26872910)	0	1	1	NA	COG0325	GC_00001072	1	1	1	1
ABC-type polysaccharide/teichoic acid/polyol phosphate export permease (TagG) (PDB:6JBH)	0	1	1	NA	COG1682	GC_00001409, GC_00001544, GC_00001993, GC_00003626	1	1	1	1
L-asparaginase II (AnsA2)	0	1	1	NA	COG4448	GC_00000930, GC_00001957	1	1	1	1
Acyl-CoA hydrolase (YciA) (PDB:5DM5)	0	1	1	NA	COG1607	GC_00000525, GC_00001507	1	1	1	1
Succinate dehydrogenase, hydrophobic anchor subunit (SdhD) (PDB:2WS3)	0	1	1	NA	COG2142	GC_00001628	1	1	1	1
(p)ppGpp synthase/hydrolase, HD superfamily (SpoT) (PDB:1TDJ)	0	1	1	NA	COG0317	GC_00000336, GC_00001850	1	1	1	1
